File, Hex, Binary
raw-codes/off-24-min,008AA2A88AAAAAA28AA0,10001010 10100010 10101000 10001010 10101010 10101010 10100010 10001010 10100000 
raw-codes/on-18-cycle,00000007001C3870E003870E1C3870E1C3870E1C387001C0070E00387001C0070E1C00,11100000 00000011 10000111 00001110 00011100 00000000 01110000 11100001 11000011 10000111 00001110 00011100 00111000 01110000 11100001 11000011 10000111 00001110 00000000 00111000 00000000 11100001 11000000 00000111 00001110 00000000 00111000 00000000 11100001 11000011 10000000 000
raw-codes/on-18-high,008AA2AAAAAA88A2A888,10001010 10100010 10101010 10101010 10101010 10001000 10100010 10101000 10001000 
raw-codes/on-18-low,008AA2AAAAAA88AAA880,10001010 10100010 10101010 10101010 10101010 10001000 10101010 10101000 10000000 
raw-codes/on-18-med,008AA2AAAAAA88A8A8A0,10001010 10100010 10101010 10101010 10101010 10001000 10101000 10101000 10100000 
raw-codes/on-19-cycle,008AA2AAA8AA8AA28AA0,10001010 10100010 10101010 10101000 10101010 10001010 10100010 10001010 10100000 
raw-codes/on-19-high,008AA2AAA8AA8AA2AA80,10001010 10100010 10101010 10101000 10101010 10001010 10100010 10101010 10000000 
raw-codes/on-19-low,008AA2AAA8AA8AAA88A0,10001010 10100010 10101010 10101000 10101010 10001010 10101010 10001000 10100000 
raw-codes/on-19-med,008AA2AAA8AA8AA8A222,10001010 10100010 10101010 10101000 10101010 10001010 10101000 10100010 00100010 
raw-codes/on-20-cycle,008AA2AAA8AA8A28A2A2,10001010 10100010 10101010 10101000 10101010 10001010 00101000 10100010 10100010 
raw-codes/on-20-high,008AA2AAA8AA8A28AAA0,10001010 10100010 10101010 10101000 10101010 10001010 00101000 10101010 10100000 
raw-codes/on-20-low,008AA2AAA8AA8A2AA228,10001010 10100010 10101010 10101000 10101010 10001010 00101010 10100010 00101000 
raw-codes/on-20-med,008AA2AAA8AA8A2A288880,10001010 10100010 10101010 10101000 10101010 10001010 00101010 00101000 10001000 10000000 
raw-codes/on-21-cycle,008AA2AAA8AA88A8A2A200,10001010 10100010 10101010 10101000 10101010 10001000 10101000 10100010 10100010 00000000 
raw-codes/on-21-high,008AA2AAA8AA88A8AA88,10001010 10100010 10101010 10101000 10101010 10001000 10101000 10101010 10001000 
raw-codes/on-21-low,008AA2AAA8AA88AAA222,10001010 10100010 10101010 10101000 10101010 10001000 10101010 10100010 00100010 
raw-codes/on-21-med,008AA2AAA8AA88AA2AA0,10001010 10100010 10101010 10101000 10101010 10001000 10101010 00101010 10100000 
raw-codes/on-22-cycle,008AA2AAA8AA888A28A280,10001010 10100010 10101010 10101000 10101010 10001000 10001010 00101000 10100010 10000000 
raw-codes/on-22-high,008AA2AAA8AA888A2AA200,10001010 10100010 10101010 10101000 10101010 10001000 10001010 00101010 10100010 00000000 
raw-codes/on-22-low,008AA2AAA8AA888AA88880,10001010 10100010 10101010 10101000 10101010 10001000 10001010 10101000 10001000 10000000 
raw-codes/on-22-med,00000007001C3870E003870E1C3870E1C0070E1C387001C007001C387001C3870E1C0000,11100000 00000011 10000111 00001110 00011100 00000000 01110000 11100001 11000011 10000111 00001110 00011100 00111000 00000000 11100001 11000011 10000111 00001110 00000000 00111000 00000000 11100000 00000011 10000111 00001110 00000000 00111000 01110000 11100001 11000011 10000000 00000000 000
raw-codes/on-23-cycle,008AA2AAA8AA2AA28A28,10001010 10100010 10101010 10101000 10101010 00101010 10100010 10001010 00101000 
raw-codes/on-23-high,008AA2AAA8AA2AA2A8A0,10001010 10100010 10101010 10101000 10101010 00101010 10100010 10101000 10100000 
raw-codes/on-23-low,008AA2AAA8AA2AAAAA,10001010 10100010 10101010 10101000 10101010 00101010 10101010 10101010 
raw-codes/on-23-med,0000000E003870E1C0070E1C3870E1C3800E1C387001C3870E1C3800E1C387001C00,11100000 00000011 10000111 00001110 00011100 00000000 01110000 11100001 11000011 10000111 00001110 00011100 00111000 00000000 11100001 11000011 10000111 00000000 00011100 00111000 01110000 11100001 11000011 10000000 00001110 00011100 00111000 01110000 00000001 11000000 0000
raw-codes/on-24-cycle,008AA2AAA8AA2A28A28880,10001010 10100010 10101010 10101000 10101010 00101010 00101000 10100010 10001000 10000000 
raw-codes/on-24-high,008AA2AAA8AA2A28AA28,10001010 10100010 10101010 10101000 10101010 00101010 00101000 10101010 00101000 
raw-codes/on-24-low,008AA2AAA8AA2A2AAA80,10001010 10100010 10101010 10101000 10101010 00101010 00101010 10101010 10000000 
raw-codes/on-24-med,008AA2AAA8AA2A2A2A88,10001010 10100010 10101010 10101000 10101010 00101010 00101010 00101010 10001000 
raw-codes/on-25-cycle,008AA2AAA8AA28A8A28880,10001010 10100010 10101010 10101000 10101010 00101000 10101000 10100010 10001000 10000000 
raw-codes/on-25-high,008AA2AAA8AA28A8AA22,10001010 10100010 10101010 10101000 10101010 00101000 10101000 10101010 00100010 
raw-codes/on-25-low,008AA2AAA8AA28AAAA20,10001010 10100010 10101010 10101000 10101010 00101000 10101010 10101010 00100000 
raw-codes/on-25-med,008AA2AAA8AA28AA2A28,10001010 10100010 10101010 10101000 10101010 00101000 10101010 00101010 00101000 
raw-codes/on-26-cycle,008AA2AAA8AA288A288A80,10001010 10100010 10101010 10101000 10101010 00101000 10001010 00101000 10001010 10000000 
raw-codes/on-26-high,008AA2AAA8AA288A2A8880,10001010 10100010 10101010 10101000 10101010 00101000 10001010 00101010 10001000 10000000 
raw-codes/on-26-low,008AA2AAA8AA288AAA88,10001010 10100010 10101010 10101000 10101010 00101000 10001010 10101010 10001000 
raw-codes/on-26-med,008AA2AAA8AA288A8A8A00,10001010 10100010 10101010 10101000 10101010 00101000 10001010 10001010 10001010 00000000 
raw-codes/on-27-cycle,008AA2AAA8AA22A8A22A00,10001010 10100010 10101010 10101000 10101010 00100010 10101000 10100010 00101010 00000000 
raw-codes/on-27-high,008AA2AAA8AA22A8A8A8,10001010 10100010 10101010 10101000 10101010 00100010 10101000 10101000 10101000 
raw-codes/on-27-low,008AA2AAA8AA22AAA8A0,10001010 10100010 10101010 10101000 10101010 00100010 10101010 10101000 10100000 
raw-codes/on-27-med,008AA2AAA8AA22AA2A22,10001010 10100010 10101010 10101000 10101010 00100010 10101010 00101010 00100010 
raw-codes/on-28-cycle,008AA2AAA8AA228A288A20,10001010 10100010 10101010 10101000 10101010 00100010 10001010 00101000 10001010 00100000 
raw-codes/on-28-high,008AA2AAA8AA228A2A2A00,10001010 10100010 10101010 10101000 10101010 00100010 10001010 00101010 00101010 00000000 
raw-codes/on-28-low,008AA2AAA8AA228AAA28,10001010 10100010 10101010 10101000 10101010 00100010 10001010 10101010 00101000 
raw-codes/on-28-med,008AA2AAA8AA228A8A8880,10001010 10100010 10101010 10101000 10101010 00100010 10001010 10001010 10001000 10000000 
raw-codes/on-29-cycle,008AA2AAA8AA222A288A20,10001010 10100010 10101010 10101000 10101010 00100010 00101010 00101000 10001010 00100000 
raw-codes/on-29-high,008AA2AAA8AA222A2A2880,10001010 10100010 10101010 10101000 10101010 00100010 00101010 00101010 00101000 10000000 
raw-codes/on-29-low,008AA2AAA8AA222AAA22,10001010 10100010 10101010 10101000 10101010 00100010 00101010 10101010 00100010 
raw-codes/on-29-med,008AA2AAAAA888AA2AA0,10001010 10100010 10101010 10101010 10101000 10001000 10101010 00101010 10100000 
raw-codes/on-30-cycle,008AA2AAA8AA22228A2228,10001010 10100010 10101010 10101000 10101010 00100010 00100010 10001010 00100010 00101000 
raw-codes/on-30-high,008AA2AAA8AA22228A8A20,10001010 10100010 10101010 10101000 10101010 00100010 00100010 10001010 10001010 00100000 
raw-codes/on-30-low,008AA2AAA8AA2222AA8880,10001010 10100010 10101010 10101000 10101010 00100010 00100010 10101010 10001000 10000000 
raw-codes/on-30-med,008AA2AAA8AA2222A28A80,10001010 10100010 10101010 10101000 10101010 00100010 00100010 10100010 10001010 10000000 
